"","brand","location","page","year","error_brand","error_location"
"234","3,,2,,-,,,,,1","67747",35,2014,0,0
"235","3,,-,,J,,,,13","67878",35,2014,0,0
"236","3,,C,,,,,,,21","66743",35,2014,0,0
"237","3,,H,,,,,,,,1","67661",36,2014,0,0
"238","4,,BB6,,,,,,2","67530",37,2014,0,0
"239","4,,S,5,,,,,12","67671",39,2014,0,0
"240","4,,R,,-,,,,12","67663",39,2014,0,0
"241","7,,-,,7,,,,,1","66441",41,2014,0,0
"242","7,,-,,J,,,,,3","67744",41,2014,0,0
"243","7,,AR1,,,,,12","67801",42,2014,0,0
"244","7,,6,,QC,,,,5","67854",42,2014,0,0
"245","7,,C,2,,,,,,1","67841",43,2014,0,0
"246","7,,J,,R,,,,,6","66076",45,2014,0,0
"247","7,,W,,7,2/,,1","81047",47,2014,0,0
"248","7,,\,,\,,,,,1","67654",48,2014,0,0
"249","7,2D,,,,,,,,2","74017",48,2014,0,0
"250","7,56,5,,,,,,1","67038",49,2014,0,0
"251","7,6-,,,,,,,,2","67068",50,2014,0,0
"252","9,,F,,J,2,,,1","67547",50,2014,0,0
"253","9,,B,,,,,,,12","67701",50,2014,0,0
"254","9,,N,,,,,,,,1","68327",51,2014,0,0
"255","A,,L,,H,,R,,1","67337",54,2014,0,0
"256","A,,QC,,,,,,,6","67658",55,2014,0,0
"257","A,5J,,,,,,,,1","67601",55,2014,0,0
"258","A2,A2,,,,,,,6","66955",56,2014,0,0
"259","A3,B,,-,,,,,2","66434",58,2014,0,0
"260","A3,B,,,,,,,,6","67058",58,2014,0,0
"261","A3,B,,,,,,,12","67743",58,2014,0,0
"262","A3,D,5,,,,,,5","67672",59,2014,0,0
"263","A3,E,,-,,,,11","67871",59,2014,0,0
"264","A3,G,,-,,,,,1","66441",60,2014,0,0
"265","A3,I,,,,,,,13","67733",60,2014,0,0
"266","A3,F,,,,,,,22","66512",60,2014,0,0
"267","A3,J,2,,,,,32","67138",61,2014,0,0
"268","A3,M,,,,,,,12","67835",62,2014,0,0
"269","A3,O,,,,,,,,3","67954",62,2014,0,0
"270","A3,N,,,,,,,15","67861",62,2014,0,0
"271","A3,QC,,,,,,,2","67460",63,2014,0,0
"272","A3,P,5,,,,,11","66078",63,2014,0,0
